gc_percentage	relative_frequency
0	0.000006491999545560032
1	0.000008347999415640041
2	0.00001411799901174007
3	0.0000207119985501601
4	0.000025467998217240124
5	0.00002660999813730013
6	0.000023965998322380117
7	0.00002636399815452013
8	0.000028185998026980137
9	0.00003045399786822015
10	0.000035577997509540172
11	0.000038273997320820187
12	0.000046133996770620226
13	0.00004804599663678024
14	0.0000617559956770803
15	0.00007421799480474036
16	0.00009001599369888045
17	0.00011416599200838056
18	0.00015482598916218076
19	0.00021780198475386106
20	0.00031833197771676154
21	0.0004969739652118224
22	0.000812655943114084
23	0.0013470839057041267
24	0.0023077858384549912
25	0.0038300157318988987
26	0.00613226357074155
27	0.009258881351878305
28	0.013389567062730305
29	0.017980848741340587
30	0.023129238380953314
31	0.028181928027265037
32	0.03323186967376912
33	0.03734027538618072
34	0.0415970670882053
35	0.04512749684107522
36	0.04856155260069132
37	0.05024074648314775
38	0.0533142942679994
39	0.05287061229905714
40	0.050566226460364145
41	0.04787473464876857
42	0.04589145678759802
43	0.04312036898157417
44	0.04064687315471888
45	0.037907007346509487
46	0.03507274754490767
47	0.031697331781186775
48	0.02869631599125788
49	0.025324956227253064
50	0.02217791644754585
51	0.019140156660189034
52	0.01634414285591
53	0.013606821047522526
54	0.011466361197354715
55	0.009591617328586787
56	0.008011491439195599
57	0.006665559533410833
58	0.005705853600590248
59	0.004846713660730044
60	0.0041301977108861604
61	0.003521277753510557
62	0.003047239786693215
63	0.0024752438267329321
64	0.0021414198501006104
65	0.0017885138748040288
66	0.0014776938965614272
67	0.0011955099163143058
68	0.0009627699326061047
69	0.0007669799463114038
70	0.0006362519554623632
71	0.0005248559632600826
72	0.0004409859691309822
73	0.0003697119741201618
74	0.00031228397814012154
75	0.0002639319815247613
76	0.00022537398422382112
77	0.0001889879867708409
78	0.0001580139889390208
79	0.00013073799084834064
80	0.00011332199206746055
81	0.00008617999396740043
82	0.000053305996268580265
83	0.00003116599781838015
84	0.000018151998729360088
85	0.00000992399930532005
86	0.000005567999610240027
87	0.000003097999783140015
88	0.0000021499998495000104
89	0.000001221999914460006
90	7.099999503000035e-07
91	4.639999675200023e-07
92	3.719999739600018e-07
93	3.419999760600017e-07
94	1.3999999020000068e-07
95	9.399999342000046e-08
96	5.799999594000028e-08
97	3.3999997620000168e-08
98	1.3999999020000068e-08
99	1.9999998600000097e-09
100	2.3999998320000116e-08
