	0kb_ELR_min_size		1kb_ELR_min_size		2kb_ELR_min_size		3kb_ELR_min_size		4kb_ELR_min_size		5kb_ELR_min_size		TOTAL	
interval	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	BASES	REGIONS
chr1:0-1,000,000	2	780800	2	780800	2	780800	2	780800	2	780800	2	780800	12	4,684,800
chr1:2,000,000-3,000,000	2	154640	2	154640	2	154640	2	154640	2	154640	2	154640	12	927,840
chr1:3,000,000-4,000,000	1	150000	1	150000	1	150000	1	150000	1	150000	1	150000	6	900,000
chr1:4,000,000-5,000,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr1:5,000,000-6,000,000	1	22000	1	22000	1	22000	1	22000	1	22000	1	22000	6	132,000
chr1:13,000,000-14,000,000	3	200000	3	200000	3	200000	3	200000	3	200000	3	200000	18	1,200,000
chr1:16,000,000-17,000,000	1	178400	1	178400	1	178400	1	178400	1	178400	1	178400	6	1,070,400
chr1:17,000,000-18,000,000	1	301500	1	301500	1	301500	1	301500	1	301500	1	301500	6	1,809,000
chr1:25,000,000-26,000,000	1	185653	1	185653	1	185653	1	185653	1	185653	1	185653	6	1,113,918
chr1:29,000,000-30,000,000	1	121918	1	121918	1	121918	1	121918	1	121918	1	121918	6	731,508
chr1:30,000,000-31,000,000	1	28082	1	28082	1	28082	1	28082	1	28082	1	28082	6	168,492
chr1:33,000,000-34,000,000	1	62693	1	62693	1	62693	1	62693	1	62693	1	62693	6	376,158
chr1:38,000,000-39,000,000	1	1900	1	1900	1	1900	1	1900	1	1900	1	1900	6	11,400
chr1:47,000,000-48,000,000	1	121921	1	121921	1	121921	1	121921	1	121921	1	121921	6	731,526
chr1:60,000,000-61,000,000	1	127627	1	127627	1	127627	1	127627	1	127627	1	127627	6	765,762
chr1:87,000,000-88,000,000	1	172238	1	172238	1	172238	1	172238	1	172238	1	172238	6	1,033,428
chr1:91,000,000-92,000,000	1	17600	1	17600	1	17600	1	17600	1	17600	1	17600	6	105,600
chr1:103,000,000-104,000,000	1	50000	1	50000	1	50000	1	50000	1	50000	1	50000	6	300,000
chr1:104,000,000-105,000,000	1	93026	1	93026	1	93026	1	93026	1	93026	1	93026	6	558,156
chr1:114,000,000-115,000,000	1	141619	1	141619	1	141619	1	141619	1	141619	1	141619	6	849,714
chr1:120,000,000-121,000,000	2	438600	2	438600	2	438600	2	438600	2	438600	2	438600	12	2,631,600
chr1:121,000,000-122,000,000	2	807800	2	807800	2	807800	2	807800	2	807800	2	807800	12	4,846,800
chr1:122,000,000-123,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:123,000,000-124,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:124,000,000-125,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:125,000,000-126,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:126,000,000-127,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:127,000,000-128,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:128,000,000-129,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
chr1:129,000,000-130,000,000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	1	1000000	6	6,000,000
