	0kb_ELR_min_size		1kb_ELR_min_size		2kb_ELR_min_size		3kb_ELR_min_size		4kb_ELR_min_size		5kb_ELR_min_size		TOTAL	
interval	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	BASES	REGIONS
chr1:0-1,000,000	211	858441	211	858441	211	858441	211	858441	211	858441	211	858441	1,266	5,150,646
chr1:1,000,000-2,000,000	599	138708	599	138708	599	138708	599	138708	599	138708	599	138708	3,594	832,248
chr1:2,000,000-3,000,000	246	151166	246	151166	246	151166	246	151166	246	151166	246	151166	1,476	906,996
chr1:3,000,000-4,000,000	218	31681	218	31681	218	31681	218	31681	218	31681	218	31681	1,308	190,086
chr1:4,000,000-5,000,000	289	37430	289	37430	289	37430	289	37430	289	37430	289	37430	1,734	224,580
chr1:5,000,000-6,000,000	293	37934	293	37934	293	37934	293	37934	293	37934	293	37934	1,758	227,604
chr1:6,000,000-7,000,000	388	29231	388	29231	388	29231	388	29231	388	29231	388	29231	2,328	175,386
chr1:7,000,000-8,000,000	273	34591	273	34591	273	34591	273	34591	273	34591	273	34591	1,638	207,546
chr1:8,000,000-9,000,000	452	29034	452	29034	452	29034	452	29034	452	29034	452	29034	2,712	174,204
chr1:9,000,000-10,000,000	480	26291	480	26291	480	26291	480	26291	480	26291	480	26291	2,880	157,746
chr1:10,000,000-11,000,000	415	21018	415	21018	415	21018	415	21018	415	21018	415	21018	2,490	126,108
chr1:11,000,000-12,000,000	404	33228	404	33228	404	33228	404	33228	404	33228	404	33228	2,424	199,368
chr1:12,000,000-13,000,000	431	195403	431	195403	431	195403	431	195403	431	195403	431	195403	2,586	1,172,418
chr1:13,000,000-14,000,000	462	362199	462	362199	462	362199	462	362199	462	362199	462	362199	2,772	2,173,194
chr1:14,000,000-15,000,000	284	23806	284	23806	284	23806	284	23806	284	23806	284	23806	1,704	142,836
chr1:15,000,000-16,000,000	422	24306	422	24306	422	24306	422	24306	422	24306	422	24306	2,532	145,836
