	0kb_BR_min_size		1kb_BR_min_size		2kb_BR_min_size		3kb_BR_min_size		4kb_BR_min_size		5kb_BR_min_size		6kb_BR_min_size		7kb_BR_min_size		8kb_BR_min_size		9kb_BR_min_size		10kb_BR_min_size		20kb_BR_min_size		50kb_BR_min_size		100kb_BR_min_size		TOTAL	
chunk	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	REGIONS	BASES
chr1:0-1,000,000	211	858441	10	821530	5	815503	2	808401	2	808401	2	808401	2	808401	2	808401	1	800793	1	800793	1	800793	1	800793	1	800793	1	800793	242	11,342,237
chr1:1,000,000-2,000,000	599	138708	33	70066	10	34452	5	22136	3	14783	1	5060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651	285,205
chr1:2,000,000-3,000,000	246	151166	13	123475	8	116706	7	114500	5	106879	4	102679	4	102679	4	102679	4	102679	3	94588	3	94588	3	94588	0	0	0	0	304	1,307,206
chr1:3,000,000-4,000,000	218	31681	4	5451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	37,132
chr1:4,000,000-5,000,000	289	37430	6	10896	2	5465	1	3399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	57,190
chr1:5,000,000-6,000,000	293	37934	3	4183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	42,117
chr1:6,000,000-7,000,000	388	29231	3	5093	1	2144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	36,468
chr1:7,000,000-8,000,000	273	34591	6	13428	3	9604	1	4930	1	4930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	67,483
chr1:8,000,000-9,000,000	452	29034	1	2642	1	2642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	34,318
chr1:9,000,000-10,000,000	480	26291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	26,291
chr1:10,000,000-11,000,000	415	21018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	21,018
chr1:11,000,000-12,000,000	404	33228	3	6327	1	3333	1	3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	46,221
chr1:12,000,000-13,000,000	431	195403	25	144357	11	126063	5	110898	5	110898	5	110898	5	110898	4	104414	4	104414	4	104414	4	104414	2	75934	1	45615	0	0	506	1,448,620
chr1:13,000,000-14,000,000	462	362199	30	315769	22	305271	17	291946	15	284579	12	271517	10	260163	10	260163	10	260163	10	260163	10	260163	6	200223	1	29935	0	0	615	3,362,254
chr1:14,000,000-15,000,000	284	23806	4	7235	1	3103	1	3103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	37,247
chr1:15,000,000-16,000,000	422	24306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	24,306
chr1:16,000,000-17,000,000	667	349742	48	280331	25	249740	16	227482	14	220352	12	211501	9	195641	7	182369	7	182369	7	182369	7	182369	4	139221	1	56696	0	0	824	2,660,182
