	0kb_ELR_min_size		1kb_ELR_min_size		2kb_ELR_min_size		3kb_ELR_min_size		4kb_ELR_min_size		5kb_ELR_min_size		TOTAL	
interval	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	BASES	REGIONS
chr1:250,000-1,250,000	2	530800	2	530800	2	530800	2	530800	2	530800	2	530800	12	3,184,800
chr1:1,250,000-2,250,000	1	3600	1	3600	1	3600	1	3600	1	3600	1	3600	6	21,600
chr1:2,250,000-3,250,000	1	151040	1	151040	1	151040	1	151040	1	151040	1	151040	6	906,240
chr1:3,250,000-4,250,000	1	150000	1	150000	1	150000	1	150000	1	150000	1	150000	6	900,000
chr1:4,250,000-5,250,000	1	2100	1	2100	1	2100	1	2100	1	2100	1	2100	6	12,600
chr1:5,250,000-6,250,000	1	22000	1	22000	1	22000	1	22000	1	22000	1	22000	6	132,000
chr1:12,250,000-13,250,000	2	80088	2	80088	2	80088	2	80088	2	80088	2	80088	12	480,528
chr1:13,250,000-14,250,000	2	119912	2	119912	2	119912	2	119912	2	119912	2	119912	12	719,472
chr1:16,250,000-17,250,000	1	428400	1	428400	1	428400	1	428400	1	428400	1	428400	6	2,570,400
chr1:17,250,000-18,250,000	1	51500	1	51500	1	51500	1	51500	1	51500	1	51500	6	309,000
chr1:25,250,000-26,250,000	1	185653	1	185653	1	185653	1	185653	1	185653	1	185653	6	1,113,918
chr1:29,250,000-30,250,000	1	150000	1	150000	1	150000	1	150000	1	150000	1	150000	6	900,000
chr1:33,250,000-34,250,000	1	62693	1	62693	1	62693	1	62693	1	62693	1	62693	6	376,158
chr1:37,250,000-38,250,000	1	1900	1	1900	1	1900	1	1900	1	1900	1	1900	6	11,400
chr1:47,250,000-48,250,000	1	121921	1	121921	1	121921	1	121921	1	121921	1	121921	6	731,526
chr1:60,250,000-61,250,000	1	127627	1	127627	1	127627	1	127627	1	127627	1	127627	6	765,762
chr1:87,250,000-88,250,000	1	172238	1	172238	1	172238	1	172238	1	172238	1	172238	6	1,033,428
chr1:91,250,000-92,250,000	1	17600	1	17600	1	17600	1	17600	1	17600	1	17600	6	105,600
chr1:103,250,000-104,250,000	2	88974	2	88974	2	88974	2	88974	2	88974	2	88974	12	533,844
chr1:104,250,000-105,250,000	1	54052	1	54052	1	54052	1	54052	1	54052	1	54052	6	324,312
