	0kb_BR_min_size		1kb_BR_min_size		2kb_BR_min_size		3kb_BR_min_size		4kb_BR_min_size		5kb_BR_min_size		6kb_BR_min_size		7kb_BR_min_size		8kb_BR_min_size		9kb_BR_min_size		10kb_BR_min_size		20kb_BR_min_size		50kb_BR_min_size		100kb_BR_min_size		TOTAL	
chunk	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	regions	bases	REGIONS	BASES
chr1:250,000-1,250,000	297	623812	14	577497	5	565503	2	558401	2	558401	2	558401	2	558401	2	558401	1	550793	1	550793	1	550793	1	550793	1	550793	1	550793	332	7,863,575
chr1:1,250,000-2,250,000	593	130990	29	64099	10	34452	5	22136	3	14783	1	5060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	271,520
chr1:2,250,000-3,250,000	208	150794	14	124542	8	116706	7	114500	5	106879	4	102679	4	102679	4	102679	4	102679	3	94588	3	94588	3	94588	0	0	0	0	267	1,307,901
chr1:3,250,000-4,250,000	270	43167	7	12856	2	5465	1	3399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	64,887
chr1:4,250,000-5,250,000	282	33193	4	5384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	38,577
chr1:5,250,000-6,250,000	277	32916	3	4592	1	2144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	39,652
chr1:6,250,000-7,250,000	382	26021	1	1724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	27,745
chr1:7,250,000-8,250,000	317	33903	6	13428	3	9604	1	4930	1	4930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	66,795
chr1:8,250,000-9,250,000	451	31046	1	2642	1	2642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	36,330
chr1:9,250,000-10,250,000	517	26709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	26,709
chr1:10,250,000-11,250,000	383	27662	3	6327	1	3333	1	3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	40,655
chr1:11,250,000-12,250,000	386	25130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	25,130
chr1:12,250,000-13,250,000	433	412428	35	353678	18	331876	11	314020	11	314020	11	314020	11	314020	10	307536	10	307536	10	307536	10	307536	7	276157	1	75550	0	0	578	3,935,913
chr1:13,250,000-14,250,000	421	143484	21	108181	15	99458	11	88824	9	81457	6	68395	4	57041	4	57041	4	57041	4	57041	4	57041	0	0	0	0	0	0	503	875,004
chr1:14,250,000-15,250,000	298	23938	3	5502	1	3103	1	3103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	35,646
chr1:15,250,000-16,250,000	494	37489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	37,489
chr1:16,250,000-17,250,000	601	335282	48	280331	25	249740	16	227482	14	220352	12	211501	9	195641	7	182369	7	182369	7	182369	7	182369	4	139221	1	56696	0	0	758	2,645,722
chr1:17,250,000-18,250,000	303	18664	2	2594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	21,258
chr1:18,250,000-19,250,000	227	16809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	16,809
chr1:19,250,000-20,250,000	413	22551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	22,551
chr1:20,250,000-21,250,000	348	28109	3	5060	1	2236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	35,405
chr1:21,250,000-22,250,000	559	73916	13	22729	3	9485	2	6767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	112,897
chr1:22,250,000-23,250,000	294	21281	3	4109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	25,390
chr1:23,250,000-24,250,000	492	34177	6	8747	1	2461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	45,385
chr1:24,250,000-25,250,000	340	25056	2	4513	1	2647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	32,216
chr1:25,250,000-26,250,000	578	104637	17	43246	5	27476	5	27476	5	27476	3	18996	3	18996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	268,303
chr1:26,250,000-27,250,000	549	35400	3	5082	2	4062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554	44,544
chr1:27,250,000-28,250,000	492	28055	2	3972	1	2886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	34,913
chr1:28,250,000-29,250,000	583	26648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	26,648
chr1:29,250,000-30,250,000	244	25566	3	5954	1	3001	1	3001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	37,522
chr1:30,250,000-31,250,000	402	43170	3	8328	1	5505	1	5505	1	5505	1	5505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	73,518
chr1:31,250,000-32,250,000	398	21208	1	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	22,513
chr1:32,250,000-33,250,000	494	32208	2	3493	1	2423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	38,124
chr1:33,250,000-34,250,000	212	33258	7	15350	2	8688	1	5750	1	5750	1	5750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	74,546
chr1:34,250,000-35,250,000	348	42027	6	16719	2	11495	2	11495	2	11495	2	11495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	104,726
chr1:35,250,000-36,250,000	450	19842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	19,842
chr1:36,250,000-37,250,000	256	23524	2	5618	1	4483	1	4483	1	4483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	42,591
chr1:37,250,000-38,250,000	397	23623	1	1198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	24,821
chr1:38,250,000-39,250,000	393	28753	1	2115	1	2115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	32,983
chr1:39,250,000-40,250,000	451	54108	9	28031	5	22816	5	22816	3	16105	1	6816	1	6816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	157,508
chr1:40,250,000-41,250,000	362	35663	2	6449	1	5266	1	5266	1	5266	1	5266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	63,176
chr1:41,250,000-42,250,000	249	30679	3	6858	1	4359	1	4359	1	4359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	50,614
chr1:42,250,000-43,250,000	380	32535	3	9695	2	8485	1	5877	1	5877	1	5877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	68,346
chr1:43,250,000-44,250,000	309	19205	2	3615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	22,820
chr1:44,250,000-45,250,000	382	35777	6	10561	1	3923	1	3923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	54,184
chr1:45,250,000-46,250,000	453	39628	10	16309	2	5254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	61,191
